pgn_aptkira_dinner | [pname_kira[0]], неожиданно тебя видеть с нами за ужином, что-то случилось? Плохое или хорошее? | [pname_kira[0]], suddenly you see us at dinner, something happened? Bad or good?
pgn_events_12_lizasololesson_11a_p2 | {i}[pname_mom[7]], перестань думать о плохом. Всё у неё будет хорошо. Я всему научу её, о чём знаю. Я хочу быть рядом, в её первый раз...{/i} | {i}[pname_mom[7]], stop thinking about the bad. She'll be fine. I'll teach her everything I know about it. I want to be there for her first time.{/i}
pgn_events_12_lizasololesson_11a_p2 | {i}Что-то Мама притихла. Думаю Мама будет не против такой стимуляции.{/i} | {i}Something Mom's quiet. I think Mom wouldn't mind that kind of stimulation.{/i}
pgn_events_12_lizasololesson_11a_p2 | Аххх... [pname_max[0]].. ММммм.. | Ahhhh... [pname_max[0]]. Mm-hmm.
pgn_events_12_lizasololesson_11a_p2 | Мммм... Аааааххх... Аххх.. | Mmm... Aaaahhhhh... Ahhhhh...
pgn_events_12_lizasololesson_11a_p2 | {i}Отлично. Мама снова застонала.{/i} | {i}Great. Mom moaned again.{/i}
pgn_events_12_lizasololesson_11a_p2 | Мама, я почти... | Mom, I'm almost...
pgn_events_12_lizasololesson_11a_p2 | Я тоже, я тоже, моя дорогая... | Me too, me too, my dear...
pgn_events_12_lizasololesson_11a_p2 | Ааахххх... | Aaahhhhh...
pgn_events_12_lizasololesson_11a_p2 | Аааа... | Aah!
pgn_events_12_lizasololesson_11a_p2 | Поможем [pname_max[2]], вместе? Нельзя же так, с эрекцией его оставлять. | Shall we help [pname_max[2]], together? You can't just leave him like that with an erection.
pgn_events_12_lizasololesson_11a_p2 | Конечно, доченька... | Of course, daughter...
pgn_events_12_lizasololesson_11a_p2 | {i}Поскорее, кончить хочу.{/i} | {i}Hurry up, I want to finish.{/i}
pgn_events_12_lizasololesson_11a_p2 | Я уже почти. | I'm almost there.
pgn_events_12_lizasololesson_11a_p2 | {i}Блин, блин, блин, ну же, сейчас...{/i} | {i}Shit, shit, shit, come on, now... {/i}
pgn_events_12_lizasololesson_11a_p2 | Ааррргхх... Мммм... Ахх... | Aarrghhh... Mm-hmm. Ahhh...
pgn_events_12_lizasololesson_11a_p2 | Ох! Мама не смогла всё проглотить, слишком много спермы сынок выплеснул в мамин рот. | Oh! Mom couldn't swallow it all, too much sperm the son threw in Mom's mouth.
pgn_events_12_lizasololesson_11a_p2 | ... | ...
pgn_events_12_lizasololesson_11a_p2 | Бегом все ванную и спать. | Run all the way to the bathroom and sleep.
pgn_events_12_lizasololesson_11a_p2 | Ааррргжж... Мммм... Ахх... | Aarrgge... Mm-hmm. Ahhh...
pgn_events_12_lizasololesson_11a_p2_0 | Аааа... | Aah!
pgn_events_12_lizasololesson_11a_p2 | Доченька, закрой ротик, а то всё выльется | Daughter, shut your mouth or it'll all come out.
pgn_events_12_lizasololesson_11a_p2_4 | Бегом все ванную и спать. | Run all the way to the bathroom and sleep.
pgn_events_12_lizasololesson_11a_p2_3 | Ааррргхх... Мммм... Ахх... | Aarrghhh... Mm-hmm. Ahhh...
pgn_events_12_lizasololesson_11a_p2_f | Ох! Мама не смогла всё проглотить, слишком много спермы сынок выплеснул в мамин рот. | Oh! Mom couldn't swallow it all, too much sperm the son threw in Mom's mouth.
pgn_events_12_lizasololesson_11a_p2_1 | ... | ...
pgn_events_12_lizasololesson_11a_p2_4 | Бегом все ванную и спать. | Run all the way to the bathroom and sleep.
pgn_events_12_lizasololesson_11a_p2 | [pname_liza[0]]! | [pname_liza[0]]!
pgn_events_12_lizasololesson_11a_p2_6 | Ааррргжж... Мммм... Ахх... | Aarrgge... Mm-hmm. Ahhh...
pgn_events_12_lizasololesson_11a_p2_0 | Аааа... | Aah!
pgn_events_12_lizasololesson_11a_p2_9 | Доченька, закрой ротик, а то всё выльется | Daughter, shut your mouth or it'll all come out.
pgn_events_12_lizasololesson_11a_p2_4 | Бегом все ванную и спать. | Run all the way to the bathroom and sleep.
pgn_events_12_lizasololesson_11a_p2_3 | Ааррргхх... Мммм... Ахх... | Aarrghhh... Mm-hmm. Ahhh...
pgn_events_12_lizasololesson_11a_p2 | Ох! Испачкал маму. Ну всё, бегом в ванную, умываться и ложиться спать. | Oh! Mom's dirty. All right, let's go to the bathroom, wash up and go to bed.
pgn_events_12_lizasololesson_11a_p2_8 | Аааахххх... Ммм... Аххх... | Aaaahhhhh... Mm-hmm. Um... Ahhhhh...
pgn_events_12_lizasololesson_11a_p2 | Спасибо, мне понравилось. | Thank you, I liked it.
pgn_events_12_lizasololesson_11a_p2 | Всегда пожалуйста. | You're welcome.
pgn_events_12_lizasololesson_11b | Да так, всё подряд. | Oh, yeah, everything.
pgn_events_12_lizasololesson_11b | Можно с вами? Тоже просто посижу? | May I come with you? I'm just gonna sit here, too?
pgn_events_12_lizasololesson_11b | Просто посидеть? Хм... Я сюда пришла ради чего другого и особенного. Так что предлагаешь? | Just sit down? Hmm. Um... I came here for something else and special. So what do you suggest?
menu_pgn_events_12_lizasololesson_11b | Я делала тебе минет, так что твоя очередь. | I gave you a blowjob, so it's your turn.
menu_pgn_events_12_lizasololesson_11b | А ты ничего не перепутал?! Сейчас будешь лизать наши киски. | Didn't you get it wrong?! You're gonna lick our pussy now.
menu_pgn_events_12_lizasololesson_11b | Блин! | Shit!
menu_pgn_events_12_lizasololesson_11b | Выбирай, чья киска будет первой. | Choose whose pussy you want first.
menu_pgn_events_12_lizasololesson_11b | Конечно. | Sure.
pgn_events_12_lizasololesson_11b_cunni_alice | Ох, как присосался, словно год не видел мою киску. | Oh, I sucked like I haven't seen my pussy in a year.
pgn_events_12_lizasololesson_11b_cunni_alice | Полегче, [pname_max[0]]. Тебе ещё киску [pname_liza[1]] лизать. | Easy, [pname_max[0]]. You're gonna have to lick your pussy.
pgn_events_12_lizasololesson_11b_cunni_alice | Натренировался на киске [pname_liza[1]] или на маминой? | Trained on pussy [pname_liza[1]] or on mom's?
pgn_events_12_lizasololesson_11b_cunni_alice | У тебя хорошо получается. | You're good at it.
pgn_events_12_lizasololesson_11b_cunni_alice | Девочки. А что вы тут делаете? [pname_alice[0]], это что ещё за поза? | Girls. What are you doing here? [pname_alice[0]], what's that pose?
pgn_events_12_lizasololesson_11b_cunni_alice | [pname_alice[0]] показывает мне, как она мастурбирует. | [pname_alice[0]] shows me how it masturbates.
pgn_events_12_lizasololesson_11b_cunni_alice | Понятно. Могла меня попросить... | I see. You could have asked me to...
pgn_events_12_lizasololesson_11b_cunni_alice | Да. Но чем больше людей, тем больше опыта у меня будет. | Yes. But the more people I have, the more experience I'll have.
pgn_events_12_lizasololesson_11b_cunni_alice | Помощь моя нужна? | Do you need my help?
pgn_events_12_lizasololesson_11b_cunni_alice | Мы сами справимся. | We can do this on our own.
pgn_events_12_lizasololesson_11b_cunni_alice | А... Ну... Хорошо, не буду вам мешать. | Ah... Well, um... Okay, I won't bother you.
pgn_events_12_lizasololesson_11b_cunni_alice | Всё, [pname_max[0]], хватит. Теперь [pname_liza[2]]. | That's enough, [pname_max[0]]. Now [pname_liza[2]].
pgn_events_12_lizasololesson_11b_cunni_alice | Помоги сначала [pname_liza[2]], а уже после закончишь со мной. Мне нужно немного времени отдышаться. | Help me first [pname_liza[2]] and then you'll be done with me. I need some time to breathe.
pgn_events_12_lizasololesson_11b_cunni_alice | Аххх... [pname_max[0]]... Остановись... Мне нужно... | Ahhhh... [pname_max[0]]... Stop it... I need to...
pgn_events_12_lizasololesson_11b_cunni_alice | [pname_max[0]]... | [pname_max[0]]...
pgn_events_12_lizasololesson_11b_cunni_alice | Пожалуйста... Я... я... | Please... Я... я...
pgn_events_12_lizasololesson_11b_cunni_alice | [pname_max[0]]! Аааххх... Мммм.... | [pname_max[0]]! Aaahhhhh... Mmm-hmm.....
pgn_events_12_lizasololesson_11b_cunni_alice | Ааахххх... Да... Аххх... | Aaahhhhh... Yes... Ahhhhh...
pgn_events_12_lizasololesson_11b_cunni_alice | Вау... Это было круто...  | Wow... That was cool... 
pgn_events_12_lizasololesson_11b_cunni_alice | Братик, у тебя остались силы на мою киску? | Brother, do you still have the strength for my pussy?
pgn_events_12_lizasololesson_11b_cunni_alice | Конечно. Я не уйду, пока вы обе не кончите. | Sure. I'm not leaving until you both come.
pgn_events_12_lizasololesson_11b_cunni_liza | Только я хочу будь сверху. | I just want to be on top.
pgn_events_12_lizasololesson_11b_cunni_liza | Может выберешь другую позу? Мне так неудобно. | Why don't you pick another pose? I'm so uncomfortable.
pgn_events_12_lizasololesson_11b_cunni_liza | Я хочу... сверху... | I want... on top...
pgn_events_12_lizasololesson_11b_cunni_liza | [pname_max[0]], не капризничай. И не трать время в пустую. | [pname_max[0]], don't be naughty. And don't waste your time.
pgn_events_12_lizasololesson_11b_cunni_liza | {i}Ни какой свободы выбора.{/i} | {i}No freedom of choice.{/i}
pgn_events_12_lizasololesson_11b_cunni_liza | Ахх... Мммм... Аххх... | Ahh... Mm-hmm. Ahhhhh...
pgn_events_12_lizasololesson_11b_cunni_liza | Ну как, ощущения? | How does it feel?
pgn_events_12_lizasololesson_11b_cunni_liza | Братик хорошо лижет мою киску... Мне нравится... | Brother licks my pussy well... I like...
pgn_events_12_lizasololesson_11b_cunni_liza | [pname_max[0]], лижи поактивнее, а то так [pname_liza[0]] до утра не кончит и я тоже. | [pname_max[0]], lick it proactively, or else [pname_liza[0]] won't end up like this until the morning either.
pgn_events_12_lizasololesson_11b_cunni_liza | Я стараюсь как могу. | I'm trying my best.
pgn_events_12_lizasololesson_11b_cunni_liza | Тс... используй язык по назначению. | Shh... use the language as intended.
pgn_events_12_lizasololesson_11b_cunni_liza | Ммммм... | Mmm...
pgn_events_12_lizasololesson_11b_cunni_liza | Может сменим позу, у меня так шея болеть будет. | Maybe we should change the pose, my neck's gonna hurt so bad.
pgn_events_12_lizasololesson_11b_cunni_liza | Какой ты у нас неженка. [pname_liza[0]], решай сама. | What a gentlewoman you are. [pname_liza[0]], you decide.
pgn_events_12_lizasololesson_11b_cunni_liza | Хорошо. | Okay.
pgn_events_12_lizasololesson_11b_cunni_liza | Не перепутай дырочку. | Don't confuse the hole.
pgn_events_12_lizasololesson_11b_cunni_liza | {i}Ха-ха. Только я не против засунуть в другую дырочку член.{/i} | {i}Ha-ha. I just don't mind putting my dick in the other hole.{/i}
pgn_events_12_lizasololesson_11b_cunni_liza | Девочки, вы не видели [pname_max[3]]? | Have you seen [pname_max[3]]?
pgn_events_12_lizasololesson_11b_cunni_liza | Нет. | No.
pgn_events_12_lizasololesson_11b_cunni_liza | Н-н-нет... | N-n-no...
pgn_events_12_lizasololesson_11b_cunni_liza | Никак не могу его найти. | I can't find him.
pgn_events_12_lizasololesson_11b_cunni_liza | Может он с Тётей [pname_kira[4]] снова куда-то уехал. | Maybe he and his aunt [pname_kira[4]] have gone away again.
pgn_events_12_lizasololesson_11b_cunni_liza | Возможно. А то его никак не могу найти. | Maybe. Cause I can't find him.
pgn_events_12_lizasololesson_11b_cunni_liza | Ему что-то передать? | Should I tell him something?
pgn_events_12_lizasololesson_11b_cunni_liza | Нет, просто искала его для... дела. Не буду вам мешать. | No, just looking for him for... business. I won't bother you.
pgn_events_12_lizasololesson_11b_cunni_liza | Аххх... Мммм... | Ahhhh... Mmm...
pgn_events_12_lizasololesson_11b_cunni_liza | {i}Что-то [pname_liza[0]] не кончает{/i} | {i} Something [pname_liza[0]] does not end{/i}
pgn_events_12_lizasololesson_11b_cunni_liza_next | Я устал. Может как-нибудь иначе? | I'm tired. Is there any other way?
pgn_events_12_lizasololesson_11b_cunni_liza_next | [pname_max[0]], не отвиливай. Ты здесь, чтобы доставить нам удовольствие своим язычком. | [pname_max[0]], don't twist it. You're here to please us with your tongue.
pgn_events_12_lizasololesson_11b_cunni_liza_next | Так что отдохнул, продолжай. | So rest, go on.
pgn_events_12_lizasololesson_11b_cunni_liza_next | И ты ещё не довёл меня до оргазма. Так что давай, не тяни время. | And you haven't brought me to orgasm yet. So, come on, don't take too long.
menu_pgn_events_12_lizasololesson_11b_p2_01 | Тогда снова твоей киской займусь. | Then I'll do your pussy again.
menu_pgn_events_12_lizasololesson_11b_p2_01 | Ты уже довёл меня до оргазма, помоги [pname_liza[2]]. | You've already brought me to orgasm, help me out [pname_liza[2]].
menu_pgn_events_12_lizasololesson_11b_p2_01 | Аааххххх... Ох! Чёрт! Да! Лижи мою киску | Aaahhhhhhh... Oh! Oh! (Laughs) Shit! Yeah! Lick my pussy.
menu_pgn_events_12_lizasololesson_11b_p2_01 | Вот же чёрт! Я сейчас кончу! | Oh, shit! I'm gonna come now!
menu_pgn_events_12_lizasololesson_11b_p2_01 | Аааахххх... Мммм... Ааааххх... | Aaaahhhhh... Mm-hmm. Aaaahhhhh...
menu_pgn_events_12_lizasololesson_11b_p2_01 | Я не знаю, но [pname_liza[0]] ни как не кончает. | I don't know, but [pname_liza[0]] doesn't end like that.
menu_pgn_events_12_lizasololesson_11b_p2_01 | Значит плохо это делаешь. Ну так что? | So you're not doing it right. So what's it gonna be?
pgn_events_12_lizasololesson_11b_p2_03 | [pname_liza[0]], займёмся тогда сексом? | [pname_liza[0]], shall we have sex then?
pgn_events_12_lizasololesson_11b_p2_03 | Хорошо. Моя попка готова. | Okay. My ass is ready.
pgn_events_12_lizasololesson_11b_p2_03 | Ничего не хорошо, [pname_liza[0]]. [pname_max[0]], всё, вали от сюда, в следующий раз снова попробуешь. | Nothing good, [pname_liza[0]]. [pname_max[0]], everybody, get out of here, next time you try again.
pgn_events_12_lizasololesson_11b_p2_03 | Эм... | Um...
pgn_events_12_lizasololesson_11b_p2_03 | Мы тут дальше сами справимся, без тебя. | We're gonna get through this on our own, without you.
pgn_events_12_lizasololesson_11b_p2_03 | Тогда [pname_alice[0]], давай сексом займёмся, а [pname_liza[0]] на нас по мастурбирует. | Then [pname_alice[0]], let's have sex, and [pname_liza[0]] masturbates on us.
pgn_events_12_lizasololesson_11b_p2_03 | Я тоже хочу сексом заниматься. | I want to have sex, too.
pgn_events_12_lizasololesson_11b_p2_03 | Никто сексом заниматься не будет, по крайней мере сейчас. | No one's having sex, at least for now.
pgn_events_12_lizasololesson_11b_p2_03 | [pname_max[0]], ты не член свой доставай, а рот открывай и продолжай работать языком. | [pname_max[0]], you don't get your dick out, open your mouth and keep working with your tongue.
pgn_events_12_lizasololesson_11b_p2_03 | А я бы не отказалась от члена... Это большого, толстого м горячего... | I wouldn't give up my penis... It's a big, fat, hot one...
pgn_events_12_lizasololesson_11b_p2_03 | Ну всё, [pname_liza[0]] поплыла. [pname_max[0]], ты свободен, дальше мы сами. | Okay, [pname_liza[0]] has sailed. [pname_max[0]], you're free, we'll take it from here.
pgn_events_12_lizasololesson_11b_p2_03 | Блин... | Shit...
pgn_events_12_lizasololesson_11b_p2_03 | В следующий раз не твоя очередь. Понял? | Next time it's not your turn. Got it?
pgn_events_12_lizasololesson_11b_p2_03 | Да. | Yes.
pgn_events_12_lizasololesson_11b_p2_03 | Хм... Я как помню, [pname_liza[2]] нравятся наказания. Может отшлепать немного эту нежную попку? | Um... I remember [pname_liza[2]] likes punishment. Should I spank that gentle ass a little bit?
pgn_events_12_lizasololesson_11b_p2_03 | Только не шлепки по моей попке. В попку, можно и хочу, но только не это. Пожалуйста. | Just don't slap my ass. In the ass, I can and I want to, but not this. Please, please.
pgn_events_12_lizasololesson_11b_p2_03 | Но тебе же нравится, когда я это делаю? | But you like it when I do it, don't you?
pgn_events_12_lizasololesson_11b_p2_03 | Единственный кто получит по попе, это ты [pname_max[0]]. И так отшлепаю, что сидеть не сможешь спокойно. | The only one who gets the ass is you [pname_max[0]]. And I'm gonna slap you so hard you can't sit still.
pgn_events_12_lizasololesson_11b_p2_03 | Ладно, ладно. Просто предложил как вариант. | Okay, okay. Just offered it as an option.
pgn_events_12_lizasololesson_11b_p2_03 | Ну да, конечно. Что-нибудь придумаешь, но в следующий раз. А сейчас оставь нас. | Oh, yeah, sure. You'll figure it out, but next time. Now leave us alone.
pgn_events_12_lizasololesson_11b_p2_03 | Может дадим ему ещё шанс? | Can we give him another chance?
pgn_events_12_lizasololesson_11b_p2_03 | Он упустил его. | He missed him.
pgn_events_12_lizasololesson_11b_p2_03 | Есть идея. | I have an idea.
pgn_events_12_lizasololesson_11b_p2_03 | Какая? | What's that?
pgn_events_12_lizasololesson_11b_p2_03 | Расслабься, тебе точно понравится. | Relax, you'll love it.
pgn_events_12_lizasololesson_11b_p2_03 | И что ты придумал? | What did you come up with?
pgn_events_12_lizasololesson_11b_p2_03 | {i}Тогда сначала разберусь с [pname_alice[4]]{/i} | {i}Then I'll deal with [pname_alice[4]] first.{/i}
pgn_events_12_lizasololesson_11b_p2_03 | Аааххххх... Ох! Чёрт! Да! Лижи мою киску | Aaahhhhhhh... Oh! Oh! (Laughs) Shit! Yeah! Lick my pussy.
pgn_events_12_lizasololesson_11b_p2_03 | Вот же чёрт! Я сейчас кончу! | Oh, shit! I'm gonna come now!
pgn_events_12_lizasololesson_11b_p2_03 | Аааахххх... Мммм... Ааааххх... | Aaaahhhhh... Mm-hmm. Aaaahhhhh...
pgn_events_12_lizasololesson_11b_p2_03 | Аххх... | Ahhhh...
pgn_events_12_lizasololesson_11b_p2_03 | {i}Во это я понимаю. Киска [pname_liza[1]] моментально стала очень влажной{/i} | {i}I understand that. The pussy [pname_liza[1]] became very wet in no time.{/i}
pgn_events_12_lizasololesson_11b_p2_03 | Ахх.. Ммм... Аххх... | Ahh... Mm-hmm. Um... Ahhhhh...
pgn_events_12_lizasololesson_11b_p2_03 | [pname_max[0]].. Я почти... | [pname_max[0]]. I'm almost...
pgn_events_12_lizasololesson_11b_p2_03 | Братик... | Brother...
pgn_events_12_lizasololesson_11b_p2_03 | Ахх... Аххх... | Ahh... Ahhhhh...
pgn_events_12_lizasololesson_11b_p2_03 | Бра...тик... | Bra...tick...
pgn_events_12_lizasololesson_11b_p2_03 | Аааахххх... | Aaaahhhhhh...
pgn_events_12_lizasololesson_11b_p2_03 | А теперь ты. | And now you.
pgn_events_12_lizasololesson_11b_p2_03_4 | Аааххххх... Ох! Чёрт! Да! Лижи мою киску | Aaahhhhhhh... Oh! Oh! (Laughs) Shit! Yeah! Lick my pussy.
pgn_events_12_lizasololesson_11b_p2_03_c | Вот же чёрт! Я сейчас кончу! | Oh, shit! I'm gonna come now!
pgn_events_12_lizasololesson_11b_p2_03_b | Аааахххх... Мммм... Ааааххх... | Aaaahhhhh... Mm-hmm. Aaaahhhhh...
pgn_events_12_lizasololesson_11b_p2_03 | Ну что, теперь моя очередь? | Well, is it my turn now?
pgn_events_12_lizasololesson_11b_p2_03 | Нет, нет... у нас больше нет сил. Ведь так, [pname_liza[0]]? | No, no... we don't have the strength anymore. Isn't that right, [pname_liza[0]]?
pgn_events_12_lizasololesson_11b_p2_03 | Да... | Yes...
pgn_events_12_lizasololesson_11b_p2_03 | Блин. У меня от всего этого каменный стояк. Может всё же поможете? | Shit. This whole thing gives me a stone boner. Why don't you help me out?
pgn_events_12_lizasololesson_11b_p2_03 | Потом, если вспомним о тебе. | Then, if we think of you.
 | Предложить помощь
Offer to help.
Взять ноутбук
Get a laptop.
Оставить ноутбук
Leave the laptop.
Мастурбация Мамы
Mom's Masturbation
Совместная мастурбация
Joint masturbation
Как ты мастурбируешь
How do you masturbate?
Больше ничего
Nothing else.
Да, очень
Yes, very.
Мне хватило
I've had enough.
Помочь
Help.
Отказаться
Refuse
Взяться за голову
Get to the head.
Ближе к члену
Closer to dick
Убрать руки
Hands off.
Наблюдать за Мамой
Watch Mom.
Не отвлекаться
Don't get distracted.
Кончить в рот
Come in your mouth.
Кончить на неё
Come to her.
Мастурбировать
Masturbate.
Продолжить куни
Continue cunni.
[pname_liza[0]] попросила зайти
[pname_liza[0]] asked to come in.
У меня дела
I've got things to do.
Может всё же куни?
Maybe a cunni, though?
Предложить [pname_alice[2]]
Offer [pname_alice[2]]
Продолжить без [pname_alice[1]]
Continue without [pname_alice[1]]
Предложить куни
Offer cunni.
В Маму
To Mom.
В [pname_liza[3]]
In [pname_liza[3]]
Что смотрите?
What are you looking at?
Готовы повеселиться?
Ready to have fun?
Но ты ж ещё не кончила?
But you haven't finished yet, have you?
Возразить
Object
Продолжить с [pname_alice[4]]
Continue with [pname_alice[4]]
[pname_liza[0]] не кончает
[pname_liza[0]] does not end
Секс с [pname_alice[4]]
Sex with [pname_alice[4]]
Отшлепать [pname_liza[3]]
Spank [pname_liza[3]]
Самым большим пальцем в попу
Biggest finger in the ass.
Пальчиком в попу
Finger in the ass.
pgn_events_12_maxclinic_01 | Чем бы заняться. | What to do.
pgn_events_12_maxclinic_01 | О! [pname_liza[0]]! А ты чего тут стоишь? | Oh! [pname_liza[0]]! What are you standing there for?
pgn_events_12_maxclinic_01 | Тебя ждала. У меня к тебе дело. Пойдём. | Waiting for you. I have a case for you. Let's go.
pgn_events_12_maxclinic_01 | Какое? Куда? | What's that? Where to?
pgn_events_12_maxclinic_01 | [pname_liza[0]]?! | [pname_liza[0]]?!
pgn_events_12_maxclinic_01 | Зачем мы здесь? | Why are we here?
pgn_events_12_maxclinic_01 | Ммм... Снимай шорты и займёмся сексом. | Mmm... Take off your shorts and have sex.
pgn_events_12_maxclinic_01 | Я не против, только пойдём обратно, а то тут становится прохладно. | I don't mind, but let's go back or it's getting cold in here.
pgn_events_12_maxclinic_01 | Хм... Я слышала, что у мальчиков пиписька от холода уменьшается. Т.е. получается он у тебя такой большой, только когда жарко? | Um... I hear the boys' pee-pee from the cold is getting smaller. So you only get it so big when it's hot?
pgn_events_12_maxclinic_01 | Ничего подобного, он у меня всегда большой. | Nothing like that, it's always big.
pgn_events_12_maxclinic_01 | Тогда докажи и трахни сестрёнку в попку, а то я замерзну. | Then prove it and fuck your sister in the ass, or I'll freeze.
pgn_events_12_maxclinic_01 | Ты там скоро? Согрей сестрёнку своей горячей палочкой. | Are you there soon? Warm your sister with your hot stick.
pgn_events_12_maxclinic_01 | Кажется, у кого-то там проблемы. Он там сильно уменьшился? | Somebody seems to have a problem there. Has it shrunk a lot in there?
pgn_events_12_maxclinic_01 | Ах ты! Ну держись, сестрёнка. | Oh, you! Hold on, sis.
pgn_events_12_maxclinic_01 | Ну что, почувствовала, всё такой же большой? | Well, did you feel like it was still big?
pgn_events_12_maxclinic_01 | Да, большой. Но мне уже холодно, согрей меня своим теплом. | Yes, big. But I'm already cold, warm me up with your warmth.
pgn_events_12_maxclinic_01 | Мм... Ахххх... Ммм, как хорошо... Не останавливайся... | Um... Ahhhhhh... Mmm, how nice... Don't stop...
pgn_events_12_maxclinic_01 | Аргх... Ахх... | Argh... Ahhh...
pgn_events_12_maxclinic_01 | Ой! Ты уже кончил? Как-то быстро. | Ow! Did you come already? That was quick.
pgn_events_12_maxclinic_01 | Ах так! Тогда кто-то сегодня точно спать не будет. | Oh, right! Then somebody's definitely not sleeping tonight.
pgn_events_12_maxclinic_01 | Ох! Как же я устала. И за что мне всё это. Постоянно моей попке достаётся, шлёпают и шлёпают. Может [pname_kira[3]] попросить? Напишет другой сценарий. | Oh! I'm so tired. And why would I do that? I get my ass all the time, they slap and spank and slap. Can [pname_kira[3]] be asked? Write another script.
pgn_events_12_maxclinic_01 | Мм... | Um...
pgn_events_12_maxclinic_01 | [pname_liza[0]]? Это ты? | [pname_liza[0]]? Is that you?
pgn_events_12_maxclinic_01 | Ой! Мама... | Ow! Mom...
pgn_events_12_maxclinic_01 | Э... Э... Э... | Em... Em... Em...
pgn_events_12_maxclinic_01 | Прячься, она не должна нас увидеть. | Hide, she can't see us.
pgn_events_12_maxclinic_01 | Кто там с тобой? [pname_max[0]]? | Who's in there with you? [pname_max[0]]?
pgn_events_12_maxclinic_01 | Куда? | Where to?
pgn_events_12_maxclinic_01 | Не знаю. Она вот-вот поднимется. | I don't know. She's about to get up.
pgn_events_12_maxclinic_01 | Эээ... | Uh...
pgn_events_12_maxclinic_01 | Ай! | Ow!
pgn_events_12_maxclinic_01 | [pname_liza[0]], ты что там делаешь и... голая? | [pname_liza[0]], what are you doing there and... naked?
pgn_events_12_maxclinic_01 | Ой! Мам. Привет. | Ow! Mom. Hi.
pgn_events_12_maxclinic_01 | Жду объяснений. | I'm waiting for an explanation.
pgn_events_12_maxclinic_01 | Ну, я решила выйти погулять немного. | Well, I've decided to go out for a little walk.
pgn_events_12_maxclinic_01 | В таком виде? Почему это без юбки, хотя бы трусики надела и вообще, ночью прохладно, так можно и простудиться. | Like this? Why is it without a skirt, at least put on panties and in general, it's cool at night, so you can catch cold.
pgn_events_12_maxclinic_01 | Прости, я не подумала. | I'm sorry, I didn't think.
pgn_events_12_maxclinic_01 | Ладно. На первый раз прощаю. А кто-то тут ещё был? Я слышала звуки. | Okay. I forgive you for the first time. Was anyone else here? I heard the sounds.
pgn_events_12_maxclinic_01 | Нет, Мам, я тут была одна и... И вспоминала наши уроки. | No, Mom, I was here alone and... And I was thinking back to our lessons.
pgn_events_12_maxclinic_01 | Доченька, ну не здесь же. Это можно и в ванной, если [pname_max[0]] дома, чтобы его не \ | Daughter, not here. It's also possible in the bathroom if [pname_max[0]] is at home, so it's not \
pgn_events_12_maxclinic_01 | Ну всё, бегом к себе. Не хватало, чтобы ты ещё заболела и занятия в школе пропускала. | All right, let's go to your room. It's not enough for you to get sick and miss school.
pgn_events_12_maxclinic_01 | {i}Вроде бы ушли. Фух... пронесло.{/i} | {i}I think they're gone. Ugh... that's it.{/i}
pgn_events_12_maxclinic_01 | {i}Пойду я, пока не заметили пропажу.{/i} | {i}I'm gonna go before you notice I'm missing.{/i}
pgn_events_12_maxclinic_01 | {i}Ай! Блин! Нога. Чёрт!{/i} | {i}Hey! Shit! Leg. Damn it!{/i}
pgn_events_12_maxclinic_01 | {i}Кажется я сильно ушиб ногу. Попробую медленно дойти до комнаты и лягу спать, завтра всё будет нормально.{/i} | {i}I think I've hurt my leg a lot. I'm gonna try to get to my room slowly and go to bed, and tomorrow I'll be fine.{/i}
pgn_events_12_maxclinic_02 | Как-то плохо я себя чувствую. С чего бы это. | I'm not feeling well. Why would I do that?
pgn_events_12_maxclinic_02 | Странно, а где [pname_liza[0]]? И сколько уже времени? | Weird, where's [pname_liza[0]]? How long has it been?
pgn_events_12_maxclinic_02 | 9:24? Да я же проспал завтрак! Надо побыстрее вставать. | 09:24? I slept through breakfast! We need to get up quickly.
pgn_events_12_maxclinic_02 | Ай! Блин, блин, блин, блин! Как же больно. | Ow! Shit, shit, shit, shit, shit! It hurts so much.
pgn_events_12_maxclinic_02 | Не надо было прыгать. Блин! Ладно, попробую так дойти, может никто не заметит. | You shouldn't have jumped. Shit! Okay, I'm gonna try to get there, maybe nobody will notice.
pgn_events_12_maxclinic_02 | Мама, Мама! [pname_max[0]] пришёл! | Mom, Mom! [pname_max[0]] is here!
pgn_events_12_maxclinic_02 | [pname_max[0]], садись, мы уже заждались, а то всё спал и спал. | [pname_max[0]], sit down, we've been waiting, because we were sleeping and sleeping.
pgn_events_12_maxclinic_02 | Ты неважно выглядишь. Всё хорошо? | You don't look so good. Everything okay?
pgn_events_12_maxclinic_02 | Да. | Yes.
pgn_events_12_maxclinic_02 | Уверен? | Are you sure?
pgn_events_12_maxclinic_02 | Вполне. | Quite.
pgn_events_12_maxclinic_02 | Хорошо, поверю на слово. Приятного аппетита. | Okay, I'll take your word for it. Enjoy your meal.
pgn_events_12_maxclinic_02 | Спасибо, я поел. И спасибо, было вкусно. | Thank you, I ate. And thank you, it was delicious.
pgn_events_12_maxclinic_02 | [pname_max[0]], подожди. | [pname_max[0]], wait.
pgn_events_12_maxclinic_02 | Что такое? | What is it?
pgn_events_12_maxclinic_02 | Ты точно ничего не хочешь мне сказать? | Are you sure you don't want to tell me anything?
